product_id,category,price,advertising_spend,season,region,sales_rep_experience,customer_rating,competitor_price,sales_volume
1,Electronics,299.99,5000,Spring,North,3,4.2,319.99,150
2,Clothing,49.99,2000,Summer,South,1,3.8,54.99,89
3,Electronics,799.99,8000,Fall,East,5,4.5,829.99,245
4,Home,129.99,3000,Winter,West,2,4.1,139.99,67
5,Electronics,199.99,4000,Spring,North,4,4.3,209.99,123
6,Clothing,79.99,2500,Summer,South,2,3.9,84.99,156
7,Home,89.99,1500,Fall,East,1,3.7,94.99,78
8,Electronics,1299.99,12000,Winter,West,6,4.7,1349.99,189
9,Clothing,39.99,1800,Spring,North,3,4.0,44.99,234
10,Home,249.99,4500,Summer,South,4,4.4,259.99,145
11,Electronics,599.99,7000,Fall,East,5,4.6,629.99,167
12,Clothing,69.99,2200,Winter,West,2,3.8,74.99,98
13,Home,179.99,3500,Spring,North,3,4.2,189.99,112
14,Electronics,399.99,6000,Summer,South,4,4.4,419.99,178
15,Clothing,29.99,1200,Fall,East,1,3.6,34.99,267
16,Home,319.99,5500,Winter,West,5,4.5,339.99,134
17,Electronics,149.99,3500,Spring,North,2,4.0,159.99,189
18,Clothing,89.99,2800,Summer,South,3,4.1,94.99,145
19,Home,199.99,4000,Fall,East,4,4.3,209.99,123
20,Electronics,999.99,10000,Winter,West,6,4.8,1049.99,156
21,Clothing,59.99,2100,Spring,North,2,3.9,64.99,178
22,Home,149.99,3200,Summer,South,3,4.1,159.99,134
23,Electronics,249.99,4800,Fall,East,4,4.4,269.99,189
24,Clothing,99.99,3000,Winter,West,5,4.2,109.99,123
25,Home,79.99,2000,Spring,North,1,3.8,84.99,167
26,Electronics,699.99,8500,Summer,South,5,4.6,729.99,145
27,Clothing,119.99,3500,Fall,East,3,4.0,129.99,112
28,Home,229.99,4200,Winter,West,4,4.3,249.99,134
29,Electronics,179.99,4000,Spring,North,3,4.1,189.99,178
30,Clothing,49.99,1800,Summer,South,2,3.7,54.99,234
31,Home,299.99,5000,Fall,East,5,4.4,319.99,123
32,Electronics,449.99,6500,Winter,West,4,4.5,469.99,156
33,Clothing,79.99,2400,Spring,North,3,3.9,84.99,189
34,Home,189.99,3800,Summer,South,2,4.0,199.99,145
35,Electronics,349.99,5500,Fall,East,4,4.3,369.99,167
36,Clothing,129.99,3200,Winter,West,5,4.1,139.99,112
37,Home,159.99,3000,Spring,North,3,3.8,169.99,134
38,Electronics,549.99,7500,Summer,South,5,4.6,579.99,178
39,Clothing,89.99,2600,Fall,East,2,3.9,94.99,189
40,Home,219.99,4000,Winter,West,4,4.2,239.99,123
41,Electronics,199.99,4200,Spring,North,3,4.0,209.99,145
42,Clothing,69.99,2000,Summer,South,1,3.7,74.99,234
43,Home,279.99,4800,Fall,East,5,4.4,299.99,134
44,Electronics,899.99,9500,Winter,West,6,4.7,949.99,167
45,Clothing,109.99,3000,Spring,North,4,4.1,119.99,112
46,Home,139.99,2800,Summer,South,2,3.9,149.99,156
47,Electronics,299.99,5200,Fall,East,3,4.2,319.99,178
48,Clothing,59.99,1900,Winter,West,2,3.8,64.99,189
49,Home,199.99,3600,Spring,North,4,4.0,219.99,145
50,Electronics,749.99,8800,Summer,South,5,4.5,779.99,123
