customer_id,age,income,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,churn
CUST_001,25,45000,12,65.50,786.00,Month-to-month,Electronic check,DSL,Yes,No,No,Yes,No,No,No,No,Yes,No
CUST_002,34,62000,24,89.25,2142.00,One year,Credit card,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
CUST_003,45,78000,36,120.75,4347.00,Two year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
CUST_004,28,38000,6,45.20,271.20,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,No,Yes,Yes
CUST_005,52,95000,48,156.30,7502.40,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
CUST_006,31,55000,18,78.90,1420.20,One year,Bank transfer,DSL,Yes,No,Yes,No,Yes,No,Yes,No,No,No
CUST_007,29,41000,9,52.75,474.75,Month-to-month,Electronic check,DSL,Yes,Yes,No,No,No,No,No,No,Yes,Yes
CUST_008,38,67000,30,98.45,2953.50,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No
CUST_009,42,72000,42,134.60,5653.20,Two year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
CUST_010,26,33000,3,39.85,119.55,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,No,Yes,Yes
CUST_011,35,58000,21,82.15,1725.15,One year,Credit card,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No
CUST_012,48,85000,39,142.30,5549.70,Two year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
CUST_013,33,49000,15,69.40,1041.00,Month-to-month,Electronic check,DSL,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No
CUST_014,27,36000,7,48.65,340.55,Month-to-month,Electronic check,DSL,Yes,No,No,No,No,No,No,No,Yes,Yes
CUST_015,41,74000,33,115.80,3821.40,Two year,Credit card,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No
CUST_016,36,61000,27,91.20,2462.40,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
CUST_017,30,44000,11,58.30,641.30,Month-to-month,Electronic check,DSL,Yes,No,No,No,Yes,No,No,No,Yes,Yes
CUST_018,44,79000,45,148.95,6702.75,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
CUST_019,32,53000,19,76.85,1460.15,One year,Bank transfer,DSL,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No
